Date,Document ID
05/14/2020,BBLS DD XI42GGJ0000N
05/12/2020,BBLS DD X1STMEQ70000N
05/10/2020,BBLS DD X1SK485L0000N
05/05/2020,BBLS DD X1CAGKJVG000N
05/04/2020,BBLS DD X14M5S5C0000N
05/04/2020,BBLS DD XMDNA2T0000N
04/29/2020,BBLS DD XEQTNBD0000N
04/23/2020,BBLS DD X1F1B91D0000N
04/19/2020,BBLS DD X2FQT4BG000N
04/16/2020,BBLS DD XMBD3G1G000N
04/16/2020,BBLS DD XSP510A0000N
04/16/2020,BBLS DD X16KO9IK0000N
04/16/2020,BBLS DD X1NTCEID0000N
04/14/2020,BBLS DD X1KVAB4IG000N
04/12/2020,BBLS DD XB5GD2I0000N
04/07/2020,BBLS DD X154N4R50000N
04/06/2020,BBLS DD XF0KITS0000N
04/05/2020,BBLS DD X14VH6E8G000N
04/04/2020,BBLS DD XECDMAOG000N
04/03/2020,BBLS DD X1MPC1T5G000N
03/30/2020,BBLS DD XSRU2Q8G000N
03/26/2020,BBLS DD X1OUS91N0000N
03/25/2020,BBLS DD X64VUGPG000N
03/24/2020,BBLS DD X1TI823C0000N
03/23/2020,BBLS DD X15843NH0000N
03/15/2020,BBLS DD X16N5DS6G000N
03/15/2020,BBLS DD XK7RTP80000N
03/10/2020,BBLS DD X1JFRI9GG000N
03/08/2020,BBLS DD X11OU2E80000N
03/01/2020,BBLS DD X28806H0000N
02/25/2020,BBLS DD X1RGV9EUG000N
02/24/2020,BBLS DD X1TBP579G000N
02/21/2020,BBLS DD X112P72M0000N
02/20/2020,BBLS DD X12IDUVRG000N
02/10/2020,BBLS DD X1RDPEL90000N
02/10/2020,BBLS DD X19IVO080000N
02/09/2020,BBLS DD X5E13QN0000N
02/04/2020,BBLS DD X1T6QB7FG000N
02/02/2020,BBLS DD XD9J7TOG000N
01/23/2020,BBLS DD X1T5LDBDG000N
01/22/2020,BBLS DD X18J1360G000N
01/16/2020,BBLS DD XSLTMTCG000N
01/09/2020,BBLS DD X16EAJMVG000N
01/08/2020,BBLS DD X1NOHM6M0000N
01/06/2020,BBLS DD X1EFJOIP0000N
01/05/2020,BBLS DD X376NGB0000N
01/02/2020,BBLS DD X9K86IF0000N
12/26/2019,BBLS DD XVAT4GQ0000N
12/19/2019,BBLS DD XSUQ40V0000N
12/19/2019,BBLS DD X60I8QDG000N
12/17/2019,BBLS DD X1S4A670G000N
12/16/2019,BBLS DD X1CQERS5G000N
12/12/2019,BBLS DD X1KQQD67G000N
12/12/2019,BBLS DD X16OO7E00000N
12/09/2019,BBLS DD XFOHIU30000N
12/09/2019,BBLS DD X1Q7M4MM0000N
12/05/2019,BBLS DD X1I9TDFT0000N
12/05/2019,BBLS DD X9KMTCTG000N
12/03/2019,BBLS DD X1M466TTG000N
12/02/2019,BBLS DD X17DC1780000N
12/01/2019,BBLS DD X13I5ECO0000N
11/24/2019,BBLS DD X12APG3R0000N
11/21/2019,BBLS DD X162R2AI0000N
11/14/2019,BBLS DD XSUQULEG000N
11/13/2019,BBLS DD X1KQ382E0000N
11/12/2019,BBLS DD XFMCIOR0000N
11/11/2019,BBLS DD XFAMKCR0000N
10/28/2019,BBLS DD X1G7U62Q0000N
10/27/2019,BBLS DD XNQAMVNG000N
10/24/2019,BBLS DD X1AFIP6M0000N
10/21/2019,BBLS DD XEQ3QIN0000N
10/16/2019,BBLS DD X13RJ8D0G000N
10/03/2019,BBLS DD XQ7N0N8G000N
10/02/2019,BBLS DD X1UTNQAGG000N
09/30/2019,BBLS DD X1V2K5JFG000N
09/26/2019,BBLS DD X1N8NTCN0000N
09/23/2019,BBLS DD XUFKRMLG000N
09/19/2019,BBLS DD X196NUKG000N
09/10/2019,BBLS DD X28OIAGG000N
09/09/2019,BBLS DD XRSCM8PG000N
09/08/2019,BBLS DD XKKOA3Q0000N
09/05/2019,BBLS DD X11C00BNG000N
09/04/2019,BBLS DD X170NTESG000N
09/04/2019,BBLS DD X2M6AFJ0000N
08/26/2019,BBLS DD XHAP54S0000N
08/22/2019,BBLS DD X88L4Q70000N
08/18/2019,BBLS DD X1HNQ83T0000N
08/12/2019,BBLS DD X14H7GC10000N
08/06/2019,BBLS DD X17Q3MO3G000N
