Date,Document ID
07/08/2021,BBLS DD X6LVPOVG1
07/08/2021,BBLS DD XFOI082O1
07/08/2021,BBLS DD XJB99QT01
07/08/2021,BBLS DD XQ4B61U01
07/07/2021,BBLS DD X35UR9DO1
07/05/2021,BBLS DD XAO4LF0O1
07/05/2021,BBLS DD XO93ILSG1
06/30/2021,BBLS DD XC4BUA601
06/30/2021,BBLS DD XKA7QVQ81
06/30/2021,BBLS DD XNQHJHUO1
06/30/2021,BBLS DD XOR1KQ501
06/30/2021,BBLS DD XQ2TBL5G1
06/29/2021,BBLS DD XTV5266G1
06/29/2021,BBLS DD X45BL2AG1
06/29/2021,BBLS DD XHD9PGGG1
06/29/2021,BBLS DD XIBNG6D81
06/29/2021,BBLS DD XJK54C1O1
06/29/2021,BBLS DD XJQORKNO1
06/29/2021,BBLS DD XNVGSFS01
06/28/2021,BBLS DD XIV7EUCG1
06/27/2021,BBLS DD XU5Q5DAG1
06/27/2021,BBLS DD XVM7L5NG1
06/27/2021,BBLS DD X38LRR901
06/27/2021,BBLS DD XETJC3O1
06/27/2021,BBLS DD XKJA8UO1
06/27/2021,BBLS DD X77V5KIO1
06/27/2021,BBLS DD X8MNGNQG1
06/27/2021,BBLS DD XAHV17H81
06/27/2021,BBLS DD XBG0TIE01
06/27/2021,BBLS DD XCVH09F01
06/27/2021,BBLS DD XEONM44G1
06/27/2021,BBLS DD XETVILBO1
06/27/2021,BBLS DD XG386K101
06/27/2021,BBLS DD XIKL099O1
06/27/2021,BBLS DD XJ6V5C0G1
06/27/2021,BBLS DD XKTC19UO1
06/27/2021,BBLS DD XMPNRVQ01
06/27/2021,BBLS DD XOIIR3M81
06/27/2021,BBLS DD XQ2ABH601
06/24/2021,BBLS DD XFO4S2T81
06/22/2021,BBLS DD XJARU52O1
06/22/2021,BBLS DD XSFUUOTO1
06/21/2021,BBLS DD X3L2CRI01
06/20/2021,BBLS DD XUFGGE801
06/20/2021,BBLS DD XQ2M8401
06/17/2021,BBLS DD XUVHPK1O1
06/16/2021,BBLS DD XFMINGNO1
06/14/2021,BBLS DD XL8DOJT81
06/10/2021,BBLS DD XAEUL7OG1
06/10/2021,BBLS DD XBOJ157O1
06/10/2021,BBLS DD XL4LAM0O1
06/08/2021,BBLS DD XVHJ532G1
06/08/2021,BBLS DD X4FP3PP81
06/08/2021,BBLS DD X593MBK01
06/07/2021,BBLS DD XRNQQ1E81
06/06/2021,BBLS DD XULTTSK81
06/06/2021,BBLS DD X84GJF781
06/06/2021,BBLS DD X8JOR5VG1
06/06/2021,BBLS DD XPG085RG1
06/03/2021,BBLS DD X4HMU1T81
06/03/2021,BBLS DD XJ86RR5O1
06/03/2021,BBLS DD XPSU8LOG1
06/03/2021,BBLS DD XQPVE4HO1
06/02/2021,BBLS DD X58S0AQG1
06/02/2021,BBLS DD XCQ14VG81
06/02/2021,BBLS DD XI893FUO1
06/01/2021,BBLS DD XUDD7OS01
06/01/2021,BBLS DD X3C25PEG1
06/01/2021,BBLS DD X95E9A301
06/01/2021,BBLS DD XAAJT93O1
06/01/2021,BBLS DD XCQH0MN81
06/01/2021,BBLS DD XK22RAOG1
05/31/2021,BBLS DD XM8OQDFG1
05/27/2021,BBLS DD X4VS46HG1
05/27/2021,BBLS DD XFIIGB7O1
05/27/2021,BBLS DD XK6J9VO01
05/27/2021,BBLS DD XL9STJRG1
05/27/2021,BBLS DD XQPKDSBG1
05/26/2021,BBLS DD XT3S1N6G1
05/26/2021,BBLS DD XM09D9381
05/26/2021,BBLS DD XRR1BQ8G1
05/25/2021,BBLS DD XH3Q652G1
05/23/2021,BBLS DD X2OCEV3G1
05/20/2021,BBLS DD X7HGS581
05/19/2021,BBLS DD XSK2P6NO1
05/16/2021,BBLS DD XO8EDMSO1
05/13/2021,BBLS DD XDUK39T81
05/13/2021,BBLS DD XK8R0S0O1
05/13/2021,BBLS DD X29VANQO1
05/11/2021,BBLS DD X9GF5P01
05/11/2021,BBLS DD XCNNBSPG1
05/09/2021,BBLS DD X1TRLK01
05/09/2021,BBLS DD XOC22DIO1
05/06/2021,BBLS DD XTE7IJ2G1
05/06/2021,BBLS DD XECSFDO1
05/06/2021,BBLS DD XI3Q5T601
05/06/2021,BBLS DD XMO66LS01
05/06/2021,BBLS DD XQGEEMMG1
05/06/2021,BBLS DD XS849DE81
05/05/2021,BBLS DD XE029UF01
05/05/2021,BBLS DD XOI2JTLO1
05/04/2021,BBLS DD X7F730NO1
05/04/2021,BBLS DD XIE9862O1
05/02/2021,BBLS DD XUP0A2FG1
05/02/2021,BBLS DD XAI5O5NO1
05/02/2021,BBLS DD XBBSVQIO1
05/02/2021,BBLS DD XC1UBI181
05/02/2021,BBLS DD XD3JOFEG1
05/02/2021,BBLS DD XDVU61R01
05/02/2021,BBLS DD XGHA1SP01
05/02/2021,BBLS DD XLENORCG1
05/02/2021,BBLS DD XLPP2S001
05/02/2021,BBLS DD XLVI3HI81
05/02/2021,BBLS DD X2M33AO81
05/02/2021,BBLS DD XRBIRPJO1
05/02/2021,BBLS DD XT0DCK181
04/29/2021,BBLS DD XV42M5401
04/29/2021,BBLS DD XBFHSKO1
04/29/2021,BBLS DD X52UVQIG1
04/29/2021,BBLS DD X69AD0IG1
04/29/2021,BBLS DD X78VF7O81
04/29/2021,BBLS DD X7JALLS81
04/29/2021,BBLS DD XPF0DOO1
04/29/2021,BBLS DD X87J4L681
04/29/2021,BBLS DD XA6K812O1
04/29/2021,BBLS DD X11DEHD81
04/29/2021,BBLS DD XAHK59401
04/29/2021,BBLS DD X147OSA81
04/29/2021,BBLS DD XDARSS8O1
04/29/2021,BBLS DD XEDFQF1G1
04/29/2021,BBLS DD XFP9B0N01
04/29/2021,BBLS DD X1L4DK581
04/29/2021,BBLS DD XHSPHVG01
04/29/2021,BBLS DD XK9SO48O1
04/29/2021,BBLS DD XMNQ78U01
04/29/2021,BBLS DD XQGFD2KG1
04/29/2021,BBLS DD XQIVTPLO1
04/28/2021,BBLS DD X2U6P3R01
04/28/2021,BBLS DD X32DPDRO1
04/28/2021,BBLS DD XVP8MQFG1
04/28/2021,BBLS DD X3B7OBB01
04/28/2021,BBLS DD XFD31V81
04/28/2021,BBLS DD X7PQHACG1
04/28/2021,BBLS DD X94DTA801
04/28/2021,BBLS DD X9GSS5MO1
04/28/2021,BBLS DD XA3FBFRO1
04/28/2021,BBLS DD XCJMIRLO1
04/28/2021,BBLS DD XFI64A301
04/28/2021,BBLS DD XHSM1SR01
04/28/2021,BBLS DD XJ5O209O1
04/28/2021,BBLS DD XLGJ98101
04/28/2021,BBLS DD XQD38KS81
04/28/2021,BBLS DD XRI9S2H81
04/28/2021,BBLS DD XSD9QDIG1
04/27/2021,BBLS DD XT5V9MF81
04/27/2021,BBLS DD XU0TDOU81
04/27/2021,BBLS DD XU58I5CO1
04/27/2021,BBLS DD XUUITJ7G1
04/27/2021,BBLS DD XV4D0BBO1
04/27/2021,BBLS DD XV4DLUF81
04/27/2021,BBLS DD XVCNF2601
04/27/2021,BBLS DD XVFIO7F81
04/27/2021,BBLS DD X38OJIJ81
04/27/2021,BBLS DD XAQPADG1
04/27/2021,BBLS DD X3HDB9E81
04/27/2021,BBLS DD X3QJHPR81
04/27/2021,BBLS DD XCJ9FPO1
04/27/2021,BBLS DD X4TQ7FU01
04/27/2021,BBLS DD X4VPDCGO1
04/27/2021,BBLS DD XHKDUUO1
04/27/2021,BBLS DD X5VNI2501
04/27/2021,BBLS DD XJI20N81
04/27/2021,BBLS DD XJKHRSO1
04/27/2021,BBLS DD XLS2N8O1
04/27/2021,BBLS DD X7FEON781
04/27/2021,BBLS DD X83UL2401
04/27/2021,BBLS DD XQ9RTE81
04/27/2021,BBLS DD X8J5HELO1
04/27/2021,BBLS DD X8MA96JG1
04/27/2021,BBLS DD X8NLNOD81
04/27/2021,BBLS DD X8TA80D01
04/27/2021,BBLS DD X94SE5TO1
04/27/2021,BBLS DD X955M9PO1
04/27/2021,BBLS DD X965I7UO1
04/27/2021,BBLS DD X9AAAO1G1
04/27/2021,BBLS DD X9DP70VG1
04/27/2021,BBLS DD X9L0GKFG1
04/27/2021,BBLS DD XA3TDPI01
04/27/2021,BBLS DD X129CC2G1
04/27/2021,BBLS DD X14TJFDG1
04/27/2021,BBLS DD XC12FBC81
04/27/2021,BBLS DD XC40OVMO1
04/27/2021,BBLS DD XC4CA8581
04/27/2021,BBLS DD XD0VDD3G1
04/27/2021,BBLS DD XDI35QJG1
04/27/2021,BBLS DD XECP7IU01
04/27/2021,BBLS DD XETNKFS81
04/27/2021,BBLS DD XEU5GNDG1
04/27/2021,BBLS DD XFFAANE81
04/27/2021,BBLS DD XFK8I6001
04/27/2021,BBLS DD XFKI7CFG1
04/27/2021,BBLS DD XG0SRS3G1
04/27/2021,BBLS DD XGDKVOIO1
04/27/2021,BBLS DD XGDKVUN01
04/27/2021,BBLS DD XGO1J21O1
04/27/2021,BBLS DD XGOIBIJO1
04/27/2021,BBLS DD XGT5ONQG1
04/27/2021,BBLS DD XHO3I9B81
04/27/2021,BBLS DD XHP362C81
04/27/2021,BBLS DD XHPVLK4G1
04/27/2021,BBLS DD XHU5R3DO1
04/27/2021,BBLS DD XI1U25JO1
04/27/2021,BBLS DD XI9SBJVG1
04/27/2021,BBLS DD XIMPS8G01
04/27/2021,BBLS DD XIVI44U81
04/27/2021,BBLS DD XJ2RLOK01
04/27/2021,BBLS DD XJ4UI7F01
04/27/2021,BBLS DD X1TGBSH81
04/27/2021,BBLS DD XJIO71IO1
04/27/2021,BBLS DD XJU8BHC01
04/27/2021,BBLS DD XK8AA70O1
04/27/2021,BBLS DD XKIPK7C81
04/27/2021,BBLS DD XKN8JSO01
04/27/2021,BBLS DD XL217OF81
04/27/2021,BBLS DD XL58NEJO1
04/27/2021,BBLS DD XLHLH05O1
04/27/2021,BBLS DD XLPTD2GO1
04/27/2021,BBLS DD XLR4664O1
04/27/2021,BBLS DD XM8ML3CG1
04/27/2021,BBLS DD XMCKFMP01
04/27/2021,BBLS DD XMKNU8K81
04/27/2021,BBLS DD XN0DMI681
04/27/2021,BBLS DD XNVRKA701
04/27/2021,BBLS DD XO3KKQ381
04/27/2021,BBLS DD XOCSEHH81
04/27/2021,BBLS DD X2JMMLUG1
04/27/2021,BBLS DD XQFK9QP81
04/27/2021,BBLS DD XQT6VJV01
04/27/2021,BBLS DD XRAEKONG1
04/27/2021,BBLS DD XRL9HFR01
04/27/2021,BBLS DD XS0EFCOG1
04/27/2021,BBLS DD XS8VR7EO1
04/27/2021,BBLS DD XSD9DUK81
04/26/2021,BBLS DD XBFTI3T01
04/26/2021,BBLS DD XIK362I81
