Date,Document ID
06/16/2021,BBLS DD X57SGVF8000000
06/15/2021,BBLS DD XASUAKHG000000
06/14/2021,BBLS DD XA876QTG000000
06/14/2021,BBLS DD XED8FCE8000000
06/13/2021,BBLS DD XEHHJM0G1
06/09/2021,BBLS DD XABH69R8000000
06/09/2021,BBLS DD XBCPMR0O000000
06/09/2021,BBLS DD XC2NPP5S000000
06/09/2021,BBLS DD X2OKHU5C000000
06/09/2021,BBLS DD X3U2A5OC000000
06/08/2021,BBLS DD X9HTCH2G000000
06/08/2021,BBLS DD X1NOLC2G000000
06/07/2021,BBLS DD X91KSKHC000000
06/07/2021,BBLS DD XC4608VK000000
06/07/2021,BBLS DD XCSSQ434000000
06/07/2021,BBLS DD XRKKNC4G000N
06/07/2021,BBLS DD X1NP0QHPG000N
06/06/2021,BBLS DD X2VOILMG000000
06/06/2021,BBLS DD X3SAIRJ0000000
06/06/2021,BBLS DD X4RKLOBS000000
06/06/2021,BBLS DD X8DQCE58000000
06/05/2021,BBLS DD X185BNP80000N
06/05/2021,BBLS DD X7T70GOG000N
06/03/2021,BBLS DD X8STE7OC000000
06/03/2021,BBLS DD XDM1FR3S000000
06/02/2021,BBLS DD XCTJOCPC000000
06/02/2021,BBLS DD X4DC2KUO1
06/02/2021,BBLS DD XEE03NGS000000
06/01/2021,BBLS DD X99FEM90000000
06/01/2021,BBLS DD X48BING000000
06/01/2021,BBLS DD X35VOHMG000000
06/01/2021,BBLS DD XJ2J4ES000000
06/01/2021,BBLS DD X73LSNUC000000
05/31/2021,BBLS DD X9S3UIT4000000
05/31/2021,BBLS DD X104QOQ0000000
05/31/2021,BBLS DD XBDI9CM0000000
05/31/2021,BBLS DD XD52Q8UG000000
05/31/2021,BBLS DD XDUJ6GSK000000
05/31/2021,BBLS DD X65O6HI0000000
05/31/2021,BBLS DD X88ICFP8000000
05/26/2021,BBLS DD X7V5V9O8000000
05/25/2021,BBLS DD X96P4730000000
05/25/2021,BBLS DD X1IES8O0000000
05/24/2021,BBLS DD XEMFIHS8000000
05/24/2021,BBLS DD X3UUH228000000
05/24/2021,BBLS DD XIRCDEO000000
05/20/2021,BBLS DD X1CR9S5O000000
05/20/2021,BBLS DD X8010O5O1
05/19/2021,BBLS DD X1Q6OBNLLS82
05/19/2021,BBLS DD X1Q6OBNLLSO2
05/19/2021,BBLS DD XNLPDIH8
05/19/2021,BBLS DD XMG710881
05/18/2021,BBLS DD XDGLAQG000000
05/17/2021,BBLS DD X1CCPK4000000
05/17/2021,BBLS DD X6JRDSTG000000
05/17/2021,BBLS DD X7GQTPG0000000
05/17/2021,BBLS DD XRL1KU4000000
05/16/2021,BBLS DD XJ24FK201
05/13/2021,BBLS DD X3HEEFOS24832000ADGG4050GPD
05/13/2021,BBLS DD X7ASIIN01
05/12/2021,BBLS DD XNEA0081
05/12/2021,BBLS DD X45R6DQS000000
05/11/2021,BBLS DD XCTHVSC8000000
05/11/2021,BBLS DD XR9K20000000
05/10/2021,BBLS DD XCB6C680000000
05/09/2021,BBLS DD XC01N6PO000000
05/06/2021,BBLS DD X1Q6OBKE11O2
05/06/2021,BBLS DD X1Q6OBKE12O2
05/06/2021,BBLS DD X6LS79I0000000
05/06/2021,BBLS DD X6TFK75O000000
05/05/2021,BBLS DD X9FUP72K000000
05/05/2021,BBLS DD XCREPDH4000000
05/05/2021,BBLS DD X5VBMTJ8000000
05/04/2021,BBLS DD X6D8HV68000000
05/04/2021,BBLS DD X6T4AJF8000000
05/01/2021,BBLS DD XB77DVS8000000
04/30/2021,BBLS DD XEJQVL34000000
04/27/2021,BBLS DD XA7OICO0000000
04/27/2021,BBLS DD XC65U698000000
04/27/2021,BBLS DD XCBN20MK000000
04/27/2021,BBLS DD X5TOKP9S000000
04/26/2021,BBLS DD XC9RJ4B0000000
04/26/2021,BBLS DD X31BQRCO000000
04/26/2021,BBLS DD X3A3DJBC000000
04/26/2021,BBLS DD X3J6LHES000000
04/25/2021,BBLS DD XHU5EL9C
04/22/2021,BBLS DD XCPSV13K000000
04/21/2021,BBLS DD XEC3IIKG000000
04/21/2021,BBLS DD XTJTO5P0000N
04/21/2021,BBLS DD X1ASOQF4G000N
04/20/2021,BBLS DD X1Q6OBGCTI82
04/19/2021,BBLS DD X1TO7C4K000000
04/18/2021,BBLS DD X17B0UH0000000
04/18/2021,BBLS DD XQ0QDL1O1
04/15/2021,BBLS DD XE0MNUOS000000
04/15/2021,BBLS DD XF0IVDMO000000
04/15/2021,BBLS DD X2632M0G000000
04/15/2021,BBLS DD XK70SI1O1
04/15/2021,BBLS DD X8HOUGG4000000
04/14/2021,BBLS DD X15UA604000000
04/12/2021,BBLS DD X19VR0F0000000
04/12/2021,BBLS DD XFRDVBO000000
04/12/2021,BBLS DD X7MNNS1K000000
04/11/2021,BBLS DD XBMTL8MO000000
04/11/2021,BBLS DD X2UKMR3S000000
04/10/2021,BBLS DD XCHMQ8D8000000
04/10/2021,BBLS DD X3AEF5TS000000
04/08/2021,BBLS DD XB25LQSC000000
04/08/2021,BBLS DD XEI5EEHG000000
04/08/2021,BBLS DD X401SCC0000000
04/07/2021,BBLS DD XB8UVHHO000000
04/07/2021,BBLS DD XHU5F9PC
04/05/2021,BBLS DD X1HKO96G000000
04/05/2021,BBLS DD X6GU7PHS000000
03/31/2021,BBLS DD X4OQK6U0000000
03/30/2021,BBLS DD X1Q6OBC69S82
03/29/2021,BBLS DD X9QS4ACC000000
03/29/2021,BBLS DD X3M8N0I0000000
03/29/2021,BBLS DD X5HJTMVS000000
03/28/2021,BBLS DD X8VIKFVO000000
03/28/2021,BBLS DD X9VBAK6S000000
03/28/2021,BBLS DD X1Q6OB9JTFO2
03/25/2021,BBLS DD X43EJ8L0000000
