date,Bitcoin_unscaled,Bitcoin_monthly,isPartial,scale,Bitcoin
2020-04-13,52,10.0,,0.1,5.2
2020-04-14,51,10.0,,0.1,5.1000000000000005
2020-04-15,46,10.0,,0.1,4.6000000000000005
2020-04-16,57,10.0,,0.1,5.7
2020-04-17,49,10.0,,0.1,4.9
2020-04-18,53,10.0,,0.1,5.300000000000001
2020-04-19,48,10.0,,0.1,4.800000000000001
2020-04-20,48,10.0,,0.1,4.800000000000001
2020-04-21,51,10.0,,0.1,5.1000000000000005
2020-04-22,44,10.0,,0.1,4.4
2020-04-23,59,10.0,,0.1,5.9
2020-04-24,56,10.0,,0.1,5.6000000000000005
2020-04-25,56,10.0,,0.1,5.6000000000000005
2020-04-26,59,10.0,,0.1,5.9
2020-04-27,57,10.0,,0.1,5.7
2020-04-28,60,10.0,,0.1,6.0
2020-04-29,86,10.0,,0.1,8.6
2020-04-30,100,10.0,,0.1,10.0
2020-05-01,49,14.0,False,0.14,6.86
2020-05-02,43,14.0,,0.14,6.0200000000000005
2020-05-03,46,14.0,,0.14,6.44
2020-05-04,49,14.0,,0.14,6.86
2020-05-05,49,14.0,,0.14,6.86
2020-05-06,54,14.0,,0.14,7.5600000000000005
2020-05-07,74,14.0,,0.14,10.360000000000001
2020-05-08,75,14.0,,0.14,10.500000000000002
2020-05-09,61,14.0,,0.14,8.540000000000001
2020-05-10,87,14.0,,0.14,12.180000000000001
2020-05-11,100,14.0,,0.14,14.000000000000002
2020-05-12,68,14.0,,0.14,9.520000000000001
2020-05-13,60,14.0,,0.14,8.4
2020-05-14,56,14.0,,0.14,7.840000000000001
2020-05-15,51,14.0,,0.14,7.140000000000001
2020-05-16,48,14.0,,0.14,6.720000000000001
2020-05-17,50,14.0,,0.14,7.000000000000001
2020-05-18,50,14.0,,0.14,7.000000000000001
2020-05-19,41,14.0,,0.14,5.74
2020-05-20,48,14.0,,0.14,6.720000000000001
2020-05-21,45,14.0,,0.14,6.300000000000001
2020-05-22,46,14.0,,0.14,6.44
2020-05-23,37,14.0,,0.14,5.180000000000001
2020-05-24,40,14.0,,0.14,5.6000000000000005
2020-05-25,46,14.0,,0.14,6.44
2020-05-26,37,14.0,,0.14,5.180000000000001
2020-05-27,41,14.0,,0.14,5.74
2020-05-28,37,14.0,,0.14,5.180000000000001
2020-05-29,35,14.0,,0.14,4.9
2020-05-30,35,14.0,,0.14,4.9
2020-05-31,32,14.0,,0.14,4.48
2020-06-01,63,9.0,False,0.09,5.67
2020-06-02,100,9.0,,0.09,9.0
2020-06-03,69,9.0,,0.09,6.21
2020-06-04,62,9.0,,0.09,5.58
2020-06-05,61,9.0,,0.09,5.49
2020-06-06,59,9.0,,0.09,5.31
2020-06-07,56,9.0,,0.09,5.04
2020-06-08,63,9.0,,0.09,5.67
2020-06-09,59,9.0,,0.09,5.31
2020-06-10,67,9.0,,0.09,6.029999999999999
2020-06-11,69,9.0,,0.09,6.21
2020-06-12,61,9.0,,0.09,5.49
2020-06-13,51,9.0,,0.09,4.59
2020-06-14,55,9.0,,0.09,4.95
2020-06-15,62,9.0,,0.09,5.58
2020-06-16,53,9.0,,0.09,4.77
2020-06-17,56,9.0,,0.09,5.04
2020-06-18,57,9.0,,0.09,5.13
2020-06-19,52,9.0,,0.09,4.68
2020-06-20,52,9.0,,0.09,4.68
2020-06-21,47,9.0,,0.09,4.2299999999999995
2020-06-22,56,9.0,,0.09,5.04
2020-06-23,59,9.0,,0.09,5.31
2020-06-24,54,9.0,,0.09,4.859999999999999
2020-06-25,51,9.0,,0.09,4.59
2020-06-26,53,9.0,,0.09,4.77
2020-06-27,51,9.0,,0.09,4.59
2020-06-28,57,9.0,,0.09,5.13
2020-06-29,56,9.0,,0.09,5.04
2020-06-30,53,9.0,,0.09,4.77
2020-07-01,51,10.0,False,0.1,5.1000000000000005
2020-07-02,43,10.0,,0.1,4.3
2020-07-03,44,10.0,,0.1,4.4
2020-07-04,44,10.0,,0.1,4.4
2020-07-05,45,10.0,,0.1,4.5
2020-07-06,42,10.0,,0.1,4.2
2020-07-07,46,10.0,,0.1,4.6000000000000005
2020-07-08,45,10.0,,0.1,4.5
2020-07-09,46,10.0,,0.1,4.6000000000000005
2020-07-10,47,10.0,,0.1,4.7
2020-07-11,45,10.0,,0.1,4.5
2020-07-12,42,10.0,,0.1,4.2
