Date,Document ID
09/27/2018,BBLS DD XAC75QLK000000
09/25/2018,BBLS DD XFS899MO000000
09/25/2018,BBLS DD X42RSC60000000
09/25/2018,BBLS DD X6HL8MTK000000
09/24/2018,BBLS DD XFRR9BFC000000
09/19/2018,BBLS DD XCHC2394000000
09/17/2018,BBLS DD X6GDJ638000000
09/13/2018,BBLS DD XFCB0G54000000
09/06/2018,BBLS DD X1KI9T3O000000
09/04/2018,BBLS DD XA8OSMN4000000
08/30/2018,BBLS DD X1M42GO0220D
08/20/2018,BBLS DD X9DLSEN0000000
08/20/2018,BBLS DD X6U749KK000000
08/20/2018,BBLS DD X7UBTIBS000000
07/25/2018,BBLS DD X1M42GG8220D
07/24/2018,BBLS DD XCPR15L0000000
07/23/2018,BBLS DD X6NJGUE4000000
07/17/2018,BBLS DD XC2IDI1O000000
07/17/2018,BBLS DD X2OS2V48000000
07/17/2018,BBLS DD X86EJLGS000000
07/11/2018,BBLS DD X3UG1PA0000000
07/11/2018,BBLS DD X5BF409G000000
06/24/2018,BBLS DD XDL4406S000000
06/20/2018,BBLS DD X3PFM95K000000
06/19/2018,BBLS DD X52SNR2C000000
06/19/2018,BBLS DD X55BE7PS000000
06/18/2018,BBLS DD XFPL2ONG000000
06/13/2018,BBLS DD X8DJMQT4000000
06/04/2018,BBLS DD XB99I530000000
05/29/2018,BBLS DD X8JDOQFG000000
05/23/2018,BBLS DD XAQR03PK000000
05/23/2018,BBLS DD XCDHA27S000000
05/23/2018,BBLS DD XDUP108K000000
05/22/2018,BBLS DD X2R3790S000000
05/16/2018,BBLS DD X9GI719S000000
05/07/2018,BBLS DD X6KLSC2O000000
04/25/2018,BBLS DD X4KCV3QG000000
04/24/2018,BBLS DD XDMRPB04000000
04/23/2018,BBLS DD X1M42G8SE20D
04/18/2018,BBLS DD X14SJ8S8000000
04/17/2018,BBLS DD XBQHPSLS000000
04/16/2018,BBLS DD XE1MM8R4000000
04/10/2018,BBLS DD XC42IU5G000000
04/10/2018,BBLS DD X81IS41K000000
03/12/2018,BBLS DD X9RMPF30000000
03/12/2018,BBLS DD X561KVVK000000
03/08/2018,BBLS DD X1M42G88E20D
02/27/2018,BBLS DD X1M42G84C20D
02/14/2018,BBLS DD XEMHOTG000000
02/14/2018,BBLS DD X67A34GC000000
02/13/2018,BBLS DD XBSB7PO8000000
02/12/2018,BBLS DD X3HQ0MJS000000
02/11/2018,BBLS DD XEKKQVU0000000
02/05/2018,BBLS DD X16I8AA4000000
02/05/2018,BBLS DD X837CTBC000000
01/29/2018,BBLS DD XD0I3AIC000000
01/29/2018,BBLS DD X3VM381C000000
01/24/2018,BBLS DD X8RGRFL4000000
01/23/2018,BBLS DD XCOR76N0000000
01/16/2018,BBLS DD X9PSF8G8000000
01/09/2018,BBLS DD XBSL66MS000000
01/08/2018,BBLS DD X242M46S000000
01/08/2018,BBLS DD X2QSKVRC000000
01/08/2018,BBLS DD XG8NAMK000000
12/31/2017,BBLS DD X9580S24000000
12/31/2017,BBLS DD X9MIQE74000000
12/31/2017,BBLS DD XA9D37Q4000000
12/31/2017,BBLS DD XAD08QGS000000
12/31/2017,BBLS DD X17BM0F4000000
12/31/2017,BBLS DD XFC1H8AC000000
12/31/2017,BBLS DD X3NO1OCG000000
12/31/2017,BBLS DD XC4GCO0000000
12/31/2017,BBLS DD X77TM4PO000000
12/13/2017,BBLS DD X2MBCEQ4000000
12/04/2017,BBLS DD X8H0TPVO000000
11/29/2017,BBLS DD XC1NE4F8000000
11/27/2017,BBLS DD X3QTADSC000000
10/25/2017,BBLS DD XDD0K8FS000000
10/23/2017,BBLS DD XRP4B7S000000
10/23/2017,BBLS DD XDUO3ES0000000
10/18/2017,BBLS DD XA7O5U10000000
10/11/2017,BBLS DD XAGD83RO000000
10/10/2017,BBLS DD XB0O2BCO000000
09/11/2017,BBLS DD XB27GJ2S000000
09/11/2017,BBLS DD XBQ0PRV4000000
09/11/2017,BBLS DD X8EC5N98000000
08/02/2017,BBLS DD X1M42284420D
07/18/2017,BBLS DD X78COGHG000000
07/13/2017,BBLS DD XARBS8FG000000
07/12/2017,BBLS DD XCM1KT0S000000
07/12/2017,BBLS DD XF06A6OG000000
07/12/2017,BBLS DD X1IC8THK000000
06/14/2017,BBLS DD X4NKU2O4000000
06/12/2017,BBLS DD XCQQUT8O000000
06/12/2017,BBLS DD XA1B7N0000000
06/12/2017,BBLS DD X3GUN1M4000000
